piscina,apartamento,gas,amueblado,patio,nauta,cisterna,finca,portal,hospital,escuela,carro,terraza,cuartos,banos,salas,plantas,cocinas,comedores,desahogos,pisos,splits,refrigeradores,garajes,tanques,price,Provincias,Municipios
0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,4,0,0,0,0,0,1,40000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,14000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,17000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,8000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,1,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,0,0,0,0,1,5,4,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,7000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,30000.0, La Habana,Arroyo Naranjo
0,0,1,1,1,0,1,0,1,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,1,3000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,4000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,40000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,2,18000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,1,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,9500.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,50000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,3000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,26000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,40000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,1,6,2,0,2,2,0,0,0,0,0,0,2,22000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,5,3,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,1,0,0,0,0,0,1,3,2,0,2,2,0,0,0,0,0,0,2,35000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,2,2,80000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,2,2,0,4,0,0,0,0,2,50000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0,2,2,0,4,0,0,0,0,2,9000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,1,1,0,0,3,2,1,2,2,0,0,0,0,0,0,2,75000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,1,0,0,0,0,2,2,0,2,2,0,4,0,0,0,0,2,18000.0, La Habana,Arroyo Naranjo
1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,9500.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,9500.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,23000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,0,0,0,0,1,4,3,0,2,2,2,0,0,0,0,1,4,13000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,7000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,6000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,3,2,15000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
1,0,1,0,0,0,1,0,1,0,0,0,1,4,2,0,2,2,2,4,0,0,0,0,2,12500.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,160000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,8000.0, La Habana,Arroyo Naranjo
1,0,1,0,1,0,1,0,1,0,0,0,1,3,3,0,2,2,0,0,0,0,0,0,2,5500.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,1,0,1,0,0,0,0,3,2,0,2,2,0,4,0,0,0,0,2,13000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,1,2,2,0,4,0,0,0,0,2,29000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,2,2,4,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,3,2,0,2,2,0,0,0,2,0,0,2,40000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,0,0,0,0,1,4,2,0,2,3,0,0,0,0,0,0,2,6500.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,30000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,0,0,0,0,1,2,3,0,2,2,0,0,0,0,0,0,2,19000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,18000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,17000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,150000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,33000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,2,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,1,2000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,40000.0, La Habana,Arroyo Naranjo
1,0,1,0,1,0,0,0,1,0,0,0,1,5,6,0,2,2,0,0,0,0,0,2,2,13000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,0,2,2,0,0,0,0,0,0,1,10500.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,8000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,1,1,0,1,2,2,0,2,2,0,0,0,0,0,0,2,11000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,6500.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,28000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,0,2,40000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,2,0,0,2,20000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,140000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,2,4,0,2,2,0,0,0,0,0,0,2,25000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,1,1,1,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,4,0,1,2,0,2,10000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,0,0,0,0,0,0,2,55000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,2500.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,7000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,1,2,2,0,2,2,0,0,0,1,1,0,2,11111.0, La Habana,Arroyo Naranjo
1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,2,10000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,11500.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,16000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,35000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,1,0,1,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,6000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,11111.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,0,2,11111.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,8500.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,12000.0, La Habana,Arroyo Naranjo
1,0,1,0,1,0,0,0,0,0,0,0,1,4,4,0,2,2,0,0,0,0,0,0,2,16000.0, La Habana,Arroyo Naranjo
0,0,1,0,1,0,1,0,1,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,2,15000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,14000.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,5500.0, La Habana,Arroyo Naranjo
0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,11500.0, La Habana,Arroyo Naranjo
0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,0,0,0,0,0,0,2,16000.0, La Habana,Arroyo Naranjo
0,1,1,0,1,0,1,0,1,0,0,0,1,4,2,0,2,2,0,0,0,0,0,0,2,6500.0, La Habana,Arroyo Naranjo
